index,sample_id,groundtruth,S2S,CNN-LSTM,U-Net,S2S-only Transformer,Ours,Quantile Mapping
86,2022-05-30_lead_07,89.00000762939453,91.19157409667969,81.75930786132812,53.76231002807617,99.16407775878906,104.85494995117188,120.50349426269531
87,2023-05-30_lead_07,46.099998474121094,60.603702545166016,75.02921295166016,135.78759765625,75.83413696289062,61.2083854675293,70.88287353515625
88,2022-06-03_lead_07,166.0,105.88241577148438,94.61027526855469,95.74551391601562,129.8983612060547,118.77711486816406,154.2367401123047
89,2023-06-03_lead_07,143.1000213623047,76.17345428466797,80.66866302490234,79.59327697753906,114.62750244140625,74.89337921142578,95.2462387084961
90,2022-06-06_lead_07,162.60000610351562,127.73294830322266,114.31244659423828,98.55757904052734,150.56689453125,120.97595977783203,202.5176239013672
91,2023-06-06_lead_07,107.00000762939453,92.9038314819336,111.613525390625,84.08272552490234,85.21998596191406,92.46697235107422,123.56061553955078
92,2022-06-10_lead_07,179.10003662109375,126.63053894042969,98.52501678466797,91.9837646484375,144.62277221679688,126.74208068847656,199.791748046875
93,2023-06-10_lead_07,69.69998168945312,100.12266540527344,96.25304412841797,88.15721130371094,106.69181823730469,96.90258026123047,138.8483123779297
94,2022-06-13_lead_07,152.0,105.68925476074219,105.8841781616211,81.34547424316406,104.08578491210938,99.4118881225586,153.85614013671875
95,2023-06-13_lead_07,67.69999694824219,92.79737091064453,100.18495178222656,97.3267822265625,95.48323822021484,105.22969055175781,123.37053680419922
96,2022-06-17_lead_07,79.79998779296875,130.18771362304688,116.47463989257812,142.7509002685547,129.00225830078125,111.81932067871094,209.40179443359375
97,2023-06-17_lead_07,65.99998474121094,76.28152465820312,87.37548065185547,102.26978302001953,109.88945007324219,109.1514892578125,95.42890930175781
98,2022-06-20_lead_07,102.50000762939453,61.43864440917969,126.86664581298828,81.19679260253906,133.10614013671875,68.01527404785156,71.87870788574219
99,2023-06-20_lead_07,76.19998931884766,84.16670227050781,92.43328857421875,93.78105163574219,121.49967193603516,82.26660919189453,109.177978515625
